0:2,7:3,5999999999999996:-1,5; 11:3:4,3:-0,2; 12:2,3000000000000003:4,1:0,2; 13:3,5999999999999996:4,1:-0,5; 14:2:3,5:0,5; 15:4,2:3,7:-1,7999999999999998; 16:1,9:2,9:0,5; 21:4,3:3,5999999999999996:-1,9; 22:1,9:2,8000000000000003:0,4; 23:3,1:5,300000000000001:-0,1; 24:2,8000000000000003:5,699999999999999:0,1; 25:3,9000000000000004:5,2:-0,7000000000000001; 26:3:7:-0,2; 27:4,6000000000000005:5,2:0,6; 28:3,4000000000000004:8,100000000000001:0,8999999999999999; 31:4,8:5,1:-0,3; 32:3,3000000000000003:8,5:-0,4
0:2,7:3,7:-1,6; 11:3:4,4:-0,8999999999999999; 12:2,3000000000000003:4,3:0,2; 13:3,5999999999999996:4,4:-1,5; 14:1,9:3,7:1,2; 15:4,3:4,2:-3; 16:1,7000000000000002:3,3000000000000003:1,6; 21:4,4:4,2:-3,1; 22:1,7000000000000002:3,2:1,5; 23:3,1:5,5:-0,4; 24:2,7:5,8:0,4; 25:3,9000000000000004:5,699999999999999:-1; 26:3:7:1,1; 27:4,8:6,1:0,4; 28:3,4000000000000004:8,100000000000001:2,3000000000000003; 31:5:6,2:-0,4; 32:3,4000000000000004:8,4:1,1
0:2,7:3,8:-3; 11:3:4,6000000000000005:-1,9; 12:2,3000000000000003:4,4:-0,7000000000000001; 13:3,5999999999999996:4,699999999999999:-2,4; 14:1,9:3,9000000000000004:0,4; 15:4,3:4,6000000000000005:-3,9000000000000004; 16:1,6:3,5999999999999996:1,2; 21:4,4:4,6000000000000005:-4; 22:1,6:3,5:1,1; 23:3,1:5,6000000000000005:-0,4; 24:2,7:5,8999999999999995:0,4; 25:3,9000000000000004:6,1:-1,2; 26:3:7,1:1,6; 27:4,8:6,6000000000000005:-0,1; 28:3,4000000000000004:8,100000000000001:3; 31:5,1:6,800000000000001:-1; 32:3,4000000000000004:8,4:2
0:2,8000000000000003:3,9000000000000004:-4; 11:3:4,6000000000000005:-2,6; 12:2,3000000000000003:4,4:-1,6; 13:3,5999999999999996:4,9:-2,9; 14:1,9:4,1:-0,4; 15:4,3:4,9:-4,1; 16:1,6:3,9000000000000004:0,4; 21:4,4:4,9:-4,3; 22:1,5:3,8:0,3; 23:3,1:5,6000000000000005:-0,4; 24:2,8000000000000003:5,8999999999999995:0,4; 25:4:6,3:-1,1; 26:3:7,1:1,7999999999999998; 27:4,8:7:-0,3; 28:3,4000000000000004:8,100000000000001:3; 31:5:7,3:-1,6; 32:3,4000000000000004:8,4:2
0:2,8000000000000003:3,9000000000000004:-4,2; 11:3:4,6000000000000005:-2,7; 12:2,3000000000000003:4,5:-1,6; 13:3,5999999999999996:4,9:-2,9; 14:1,9:4,2:-0,1; 15:4,2:5,1:-3,9000000000000004; 16:1,6:4:1,3; 21:4,3:5,2:-4,1; 22:1,5:4:1,2; 23:3,2:5,699999999999999:-0,4; 24:2,8000000000000003:6:0,4; 25:3,9000000000000004:6,5:-0,8999999999999999; 26:3,1:7,1:1,3; 27:4,699999999999999:7,4:-0,2; 28:3,4000000000000004:8:3,1; 31:4,9:7,6:-1,6; 32:3,4000000000000004:8,4:2,1
0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
0:4,8:3,3000000000000003:2; 11:4,8:3,7:-1,3; 12:5,2:3,9000000000000004:2,8000000000000003; 13:4,3:4,2:-2,2; 14:4,6000000000000005:4,4:3,1; 15:3,7:4,4:-2; 16:3,9000000000000004:4,6000000000000005:2,8000000000000003; 21:3,5999999999999996:4,4:-1,9; 22:3,8:4,6000000000000005:2,7; 23:5,300000000000001:5,4:-1,2; 24:5,5:5,5:1,2; 25:5,2:6,800000000000001:-1,5; 26:5,2:6,800000000000001:0,8; 27:5,5:8:-1,7999999999999998; 28:5,2:7,9:0,3; 31:5,2:8,299999999999999:-2,6; 32:4,9:8,299999999999999:-0,4
0:4,9:3,3000000000000003:2,2; 11:4,699999999999999:3,9000000000000004:-1,2; 12:5,2:3,9000000000000004:2,3000000000000003; 13:4,1:4,3:-2,8000000000000003; 14:4,699999999999999:4,4:3,5; 15:3,5:4,5:-4,3; 16:4:4,8:4,6000000000000005; 21:3,4000000000000004:4,5:-4,2; 22:3,9000000000000004:4,8:4,5; 23:5,1:5,6000000000000005:-1,1; 24:5,5:5,5:1,1; 25:5,1:6,8999999999999995:-1,3; 26:5,300000000000001:6,8999999999999995:1,1; 27:5,4:8,2:-1,5; 28:5,4:8,100000000000001:0,4; 31:5,300000000000001:8,5:-2; 32:5,300000000000001:8,4:-0,1
0:4,9:3,4000000000000004:2,3000000000000003; 11:4,6000000000000005:3,9000000000000004:-0,7000000000000001; 12:5,2:3,9000000000000004:2,2; 13:4:4,3:-1,7000000000000002; 14:4,9:4,5:3,5999999999999996; 15:3,4000000000000004:4,5:-2; 16:4,5:4,699999999999999:5; 21:3,3000000000000003:4,5:-1,9; 22:4,3:4,8:5; 23:5:5,6000000000000005:-0,8999999999999999; 24:5,5:5,5:0,8999999999999999; 25:5:7:-0,8999999999999999; 26:5,5:6,800000000000001:0,8999999999999999; 27:5,4:8,100000000000001:-1,2; 28:5,5:8,100000000000001:0,2; 31:5,2:8,4:-1,4000000000000001; 32:5,5:8,299999999999999:-0
0:4,9:3,4000000000000004:3,1; 11:4,5:4:0,3; 12:5,2:3,9000000000000004:2; 13:3,8:4,3:0,1; 14:5:4,5:2,8000000000000003; 15:3,2:4,5:0,7000000000000001; 16:4,699999999999999:4,8:3,5; 21:3,1:4,5:0,8; 22:4,699999999999999:4,9:4,4; 23:4,9:5,6000000000000005:-0,5; 24:5,4:5,5:0,5; 25:4,9:6,8999999999999995:-0,8; 26:5,6000000000000005:6,800000000000001:0,4; 27:5,2:8,2:-1,2; 28:5,8:7,9:-0,2; 31:5,1:8,4:-1,4000000000000001; 32:5,8999999999999995:8,2:-0,3
